index,year,statesuperintendency,agency,reservation,school,school_type,students_enrollment,avg_attendance,num_students,school_capacity
9974,1894,New Mexico,Pueblo Agency,San Juan,San Juan Day,day,46,35,,50
9978,1894,New Mexico,Pueblo Agency,Cochiti,Cochiti Day ,day,32,15,,30
9979,1894,New Mexico,Pueblo Agency,St. Domingo,San Domingo Day ,day,25,24,,100
9980,1894,New Mexico,Pueblo Agency,Taos,Taos Day ,day,36,30,,50
9981,1894,New Mexico,Pueblo Agency,Santa Clara,Santa Clara Day,day,35,16,,30
9985,1894,New Mexico,Pueblo Agency,Zia,Zia Day,day,35,31,,35
9987,1894,New Mexico,Pueblo Agency,Isleta,Isleta Day ,day,39,23,,60
9989,1894,New Mexico,Pueblo Agency,Laguna,Laguna Day,day,33,18,,40
9991,1894,New Mexico,,,Barnalillo Boarding,boarding,76,72,,125
9992,1894,New Mexico,,,"University of New Mexico, Santa Fe",boarding,72,61,,75
9993,1894,New Mexico,,,Pahuate Day ,day,26,20,,50
9994,1894,New Mexico,,Santa Fe,Santa Fe Training,boarding,152,76,,175
10013,1894,North Carolina,Eastern Cherokee Agency,Qually Boundary and other lands,Eastern Cherokee Boarding,boarding,153,91,,100
10022,1894,Dakota,Devil's Lake Agency,,Fort Totten Boarding,boarding,292,254,,425
10023,1894,North Dakota,,,Turtle Mountain Boarding,boarding,175,148,,175
10024,1894,North Dakota,,,Turtle Mountain No. 1 Day,day,36,16,,50
10025,1894,North Dakota,,,Turtle Mountain No. 2 Day,day,42,15,,50
10026,1894,North Dakota,,,Turtle Mountain No. 3 Day ,day,46,12,,50
10027,1894,North Dakota,Fort Berthold Agency,,Fort Berthold Boarding,boarding,38,37,,54
10031,1894,North Dakota,Fort Berthold Agency,,St. Edward's Mission Boarding,boarding,24,18,,100
10032,1894,North Dakota,Fort Berthold Agency,,Fort Stevenson Industrial Training,boarding,130,128,,150
10033,1894,North Dakota,Standing Rock Agency,,Agency Boarding,boarding,134,117,,110
10038,1894,North Dakota,Standing Rock Agency,,Agricultural Boarding,boarding,96,76,,100
10039,1894,North Dakota,Standing Rock Agency,,Grand River Boarding,boarding,65,54,,100
10040,1894,North Dakota,Standing Rock Agency,,Cannon Ball Day ,day,63,46,,60
10041,1894,North Dakota,Standing Rock Agency,,No. 1 Day ,day,23,20,,30
10042,1894,North Dakota,Standing Rock Agency,,No. 2 Day ,day,29,21,,30
10043,1894,North Dakota,Standing Rock Agency,,No. 4 Day ,day,11,8,,30
10044,1894,North Dakota,Standing Rock Agency,,Bullhead Day,day,20,15,,30
10045,1894,North Dakota,Standing Rock Agency,,St. Elizabeth's Boarding,boarding,48,35,,40
10046,1894,Indian Territory,Cheyenne and Arapaho Agency,,Mennonite Boarding (Agency),boarding,18,13,,40
10047,1894,Indian Territory,Cheyenne and Arapaho Agency,,Arapaho Boarding,boarding,114,108,,110
10048,1894,Indian Territory,Cheyenne and Arapaho Agency,,Cheyenne Boarding,boarding,133,95,,200
10049,1894,Indian Territory,Cheyenne and Arapaho Agency,,Mennonite Boarding (Cantonment),boarding,71,55,,65
10050,1894,Indian Territory,Cheyenne and Arapaho Agency,,Seger Colony Boarding,boarding,73,62,,60
10051,1894,Oklahoma,,Chilocco,Chilocco Training,boarding,279,250,,350
10063,1894,Oklahoma,Kiowa Agency,,Riverside Boarding,boarding,72,63,,60
10064,1894,Oklahoma,Kiowa Agency,,Washita Boarding,boarding,103,92,,150
10065,1894,Oklahoma,Kiowa Agency,,Rainy Mountain Boarding,boarding,29,27,,50
10066,1894,Oklahoma,Kiowa Agency,,Fort Sill Boarding,boarding,106,95,,125
10067,1894,Oklahoma,Kiowa Agency,,Methodist Episcopal Mission Boarding,boarding,40,33,,100
10068,1894,Oklahoma,Kiowa Agency,,Cache Creek Mission Boarding,boarding,32,31,,40
10069,1894,Oklahoma,Kiowa Agency,,St. Patrick Mission Boarding,boarding,54,40,,50
10070,1894,Oklahoma,Kiowa Agency,,Wichita Baptist Mission Boarding,boarding,24,18,,40
10072,1894,Oklahoma,Osage Agency,,St. John's Boarding,boarding,56,46,,200
10073,1894,Oklahoma,Osage Agency,,Osage Boarding,boarding,185,141,,160
10074,1894,Oklahoma,Osage Agency,,Kaw Boarding,boarding,48,41,,60
10075,1894,Oklahoma,Osage Agency,,St. Louis Boarding,boarding,85,63,,125
10077,1894,Oklahoma,"Ponca, Pawnee, and Otoe Agency",,Ponca Boarding,boarding,115,97,,100
10078,1894,Oklahoma,"Ponca, Pawnee, and Otoe Agency",,Pawnee Boarding,boarding,131,122,,125
10079,1894,Indian Territory,"Ponca, Pawnee, and Otoe Agency",,Otoe Boarding,boarding,65,62,,75
10081,1894,Oklahoma,"Ponca, Pawnee, and Otoe Agency",,Oakland Day,day,10,9,,20
10083,1894,Indian Territory,Sac and Fox Agency,,Sac and Fox Boarding,boarding,86,68,,100
10085,1894,Indian Territory,Sac and Fox Agency,,Absentee and Shawnee Boarding,boarding,74,52,,70
10088,1894,Indian Territory,Sac and Fox Agency,,Sacred Heart Boarding,boarding,52,50,,200
10089,1894,Oklahoma,,Pottawatomie County ,"District No. 74, Moral, Pottawatomie County ",day,10,2,,
10090,1894,Oklahoma,,Canadian County,"District No. 29, Canadian County",day,8,5,,
10091,1894,Oklahoma,,Pottawatomie County ,"District No. 90, Johnson Post-office, Pottawatomie County",day,2,1,,
10092,1894,Oklahoma,,Pottawatomie County ,"District No. 82, Adell, Pottawatomie County ",day,8,7,,
10093,1894,Oklahoma,,Pottawatomie County ,"District No. 77, Pottawatomie County ",day,13,5,,
10094,1894,Oklahoma,,Kingfisher County ,"District No. 83, Kingfisher County ",day,2,,,
10095,1894,Oklahoma,,Pottawatomie County ,"District No. 71, Tecumseh, Pottawatomie County ",day,3,2,,
10096,1894,Oklahoma,,Pottawatomie County ,"District No. 301/2, Tecumseh, Pottawatomie County ",day,8,6,,
10097,1894,Oklahoma,,Pottawatomie County ,"Minnehaha District No. 18, Pottawatomie County ",day,7,4,,
10098,1894,Oklahoma,,Payne County ,"District No. 47, Payne County",day,4,,,
10099,1894,Oklahoma,,Pottawatomie County ,"District No. 58, Pottawatomie County ",day,3,1,,
10100,1894,Oregon,Grand Ronde Agency,,Grande Ronde Boarding,boarding,84,61,,70
10111,1894,Oregon,Klamath Agency,,Klamath Boarding,boarding,110,95,,125
10116,1894,Oregon,Klamath Agency,,Yainax Boarding,boarding,97,83,,90
10117,1894,Oregon,Klamath Agency,,Hot Creek Day School ,day,23,15,,25
10118,1894,Oregon,Siletz Agency,,Siletz Boarding,boarding,91,84,,90
10119,1894,Indian Territory,Umatilla Agency,,Umatilla Boarding,boarding,81,59,,100
10123,1894,Indian Territory,Umatilla Agency,,Kate Drexel Industrial ,boarding,92,75,,150
10124,1894,Oregon,Warm Springs Agency,,Warm Springs Boarding,boarding,48,38,,60
10131,1894,Oregon,Warm Springs Agency,,Sinnasho Boarding,boarding,61,44,,75
10132,1894,Oregon,,Chemawa,Salem Training,boarding,250,220,,300
10133,1894,Oregon,,Lane County ,"Public Day, District No. 32",day,3,2,,
10135,1894,Pennsylvania,,Philadelphia,"Philadelphia, Lincoln Institute",boarding,226,201,,260
10136,1894,Pennsylvania,,Carlisle,Carlisle Training,boarding,723,656,,800
10137,1894,Dakota,Crow Creek and Lower Brule Agency,,Grace Howard Mission Day School ,day,33,32,,35
10142,1894,Dakota,Crow Creek and Lower Brule Agency,,Lower Brule Boarding,boarding,76,69,,70
10143,1894,Dakota,Crow Creek and Lower Brule Agency, ,Immaculate Conception Boarding,boarding,91,88,,130
10144,1894,South Dakota,,,Grace Howard Mission Home Boarding,boarding,,,,
10145,1894,South Dakota,,,Crow Creek Boarding,boarding,132,130,,135
10152,1894,South Dakota,Forest City Agency,,"Boy's Boarding, Fort Bennett",boarding,51,40,,50
10153,1894,South Dakota,Forest City Agency,,Forest City Agency Boarding,boarding,93,81,,120
10154,1894,South Dakota,Forest City Agency,,Oahe Industrial ,boarding,22,20,,45
10155,1894,South Dakota,Forest City Agency,,Plum Creek Boarding,boarding,5,4,,20
10156,1894,South Dakota,Forest City Agency,,St. John's Boarding,boarding,40,35,,50
10157,1894,South Dakota,Forest City Agency,,No. 1 Day ,day,11,5,,26
10158,1894,South Dakota,Forest City Agency,,No. 5 Day ,day,24,23,,25
10159,1894,South Dakota,Forest City Agency,,No. 7 Day ,day,13,12,,25
10160,1894,South Dakota,Forest City Agency,,No. 8 Day ,day,39,22,,24
10165,1894,Dakota,Pine Ridge Agency,,Ogalalla Boarding,boarding,158,135,,200
10166,1894,Dakota,Pine Ridge Agency,,Holy Rosary Boarding,boarding,152,132,,180
10167,1894,Dakota,Pine Ridge Agency,,No. 1 Day ,day,27,14,,30
10168,1894,Dakota,Pine Ridge Agency,,No. 2 Day ,day,38,20,,35
10169,1894,Dakota,Pine Ridge Agency,,No. 3 Day ,day,36,17,,30
10170,1894,Dakota,Pine Ridge Agency,,No. 4 Day ,day,41,32,,34
10171,1894,Dakota,Pine Ridge Agency,,No. 5 Day ,day,47,29,,30
10172,1894,Dakota,Pine Ridge Agency,,No. 6 Day ,day,39,22,,40
10173,1894,Dakota,Pine Ridge Agency,,No. 7 Day ,day,58,35,,44
10174,1894,Dakota,Pine Ridge Agency,,No. 8 Day ,day,26,14,,32
10175,1894,Dakota,Pine Ridge Agency,,No. 9 Day ,day,46,31,,36
10176,1894,Dakota,Pine Ridge Agency,,No. 10 Day ,day,52,34,,40
10177,1894,Dakota,Pine Ridge Agency,,No. 11 Day ,day,45,35,,40
10178,1894,Dakota,Pine Ridge Agency,,No. 12 Day ,day,22,10,,32
10179,1894,Dakota,Pine Ridge Agency,,No. 13 Day ,day,23,10,,20
10180,1894,Dakota,Pine Ridge Agency,,No. 14 Day ,day,8,6,,20
10181,1894,Dakota,Pine Ridge Agency,,No 15 Day ,day,41,30,,36
10182,1894,Dakota,Pine Ridge Agency,,No. 16 Day ,day,51,30,,34
10183,1894,Dakota,Pine Ridge Agency,,No. 17 Day ,day,35,24,,40
10184,1894,Dakota,Pine Ridge Agency,,No. 18 Day ,day,42,32,,40
10185,1894,Dakota,Pine Ridge Agency,,No. 19 Day,day,42,21,,35
10186,1894,Dakota,Pine Ridge Agency,,No. 20 Day ,day,38,30,,36
10187,1894,Dakota,Pine Ridge Agency,,No. 21 Day ,day,42,28,,48
10188,1894,Dakota,Pine Ridge Agency,,No. 22 Day ,day,34,20,,40
10189,1894,Dakota,Pine Ridge Agency,,No. 23 Day ,day,20,9,,20
10190,1894,Dakota,Pine Ridge Agency,,No. 24 Day ,day,28,24,,28
10191,1894,South Dakota,Rosebud Agency,,Agency Day ,day,33,22,,40
10197,1894,South Dakota,Rosebud Agency,,St. Francis Mission Boarding,boarding,135,128,,160
10198,1894,South Dakota,Rosebud Agency,,St. Mary's Mission Boarding,boarding,50,45,,45
10199,1894,South Dakota,Rosebud Agency,,Black Pipe Creek Day ,day,28,26,,28
10200,1894,South Dakota,Rosebud Agency,,Big Oak Day ,day,28,23,,30
10201,1894,South Dakota,Rosebud Agency,,Butte Creek Day ,day,26,20,,30
10202,1894,South Dakota,Rosebud Agency,,Corn Creek Day ,day,35,30,,34
10203,1894,South Dakota,Rosebud Agency,,Cut Meat Creek Day ,day,41,38,,40
10204,1894,South Dakota,Rosebud Agency,,He Dog Camp Day ,day,31,29,,33
10205,1894,South Dakota,Rosebud Agency,,Iron Wood Creek Day ,day,36,31,,40
10206,1894,South Dakota,Rosebud Agency,,Little White River Day ,day,22,20,,34
10207,1894,South Dakota,Rosebud Agency,,Lower Cut Meat Day ,day,37,29,,42
10208,1894,South Dakota,Rosebud Agency,,Milk's Camp Day ,day,34,26,,32
10209,1894,South Dakota,Rosebud Agency,,Pine Creek Day ,day,32,27,,34
10210,1894,South Dakota,Rosebud Agency,,Ponca Creek Day ,day,18,9,,40
10211,1894,South Dakota,Rosebud Agency,,Red Leaf Camp Day ,day,30,25,,30
10212,1894,South Dakota,Rosebud Agency,,Ring Thunder Camp Day ,day,17,14,,30
10213,1894,South Dakota,Rosebud Agency,,Spring Creek Day ,day,41,31,,32
10214,1894,South Dakota,Rosebud Agency,,Upper Cut Meat Creek Day ,day,34,29,,40
10215,1894,South Dakota,Rosebud Agency,,White Thunder Creek Day ,day,25,22,,30
10216,1894,South Dakota,Sisseton Agency,,Sisseton Industrial ,boarding,119,85,,125
10217,1894,South Dakota,Sisseton Agency,,Goodwill Mission Boarding,boarding,101,68,,150
10218,1894,South Dakota,Yankton Agency,,Yankton Boarding,boarding,137,113,,125
10219,1894,South Dakota,Yankton Agency,,St. Paul's Boarding,boarding,49,45,,48
10220,1894,South Dakota,,Flandreau ,Flandreau Training,boarding,110,91,,150
10221,1894,South Dakota,,Pierre,Pierre Training,boarding,133,102,,180
10222,1894,South Dakota,,Bad River District,Bad River District Public Day ,day,12,,,
10224,1894,Utah,Uintah and Ouray Agency,,Uintah Boarding,boarding,78,59,,80
10231,1894,Utah,Uintah and Ouray Agency,,Ouray Boarding,boarding,44,28,,80
10232,1894,Utah,,Box Elder County ,"Public Day, District No. 12",day,40,15,,
10233,1894,Virginia,,,Hampton Normal and Agricultural Institute,boarding,126,110,,150
10234,1894,Washington,Colville Agency,,Colville Boarding,boarding,94,87,,150
10247,1894,Washington,Colville Agency,,De Smet Boarding,boarding,108,75,,300
10248,1894,Washington,Colville Agency,,Okonagan Boarding,boarding,75,61,,75
10249,1894,Washington,Neah Bay Agency,,Neah Bay Boarding,boarding,67,54,,75
10251,1894,Washington,Neah Bay Agency,,Quillehute Day ,day,58,38,,60
10254,1894,Washington,Puyallup Agency,,Puyallup Boarding,boarding,171,137,,150
10255,1894,Washington,Puyallup Agency,,Chehalis Boarding,boarding,62,55,,60
10259,1894,Washington,Puyallup Agency,,S'Kokomish Boarding,boarding,61,51,,60
10260,1894,Washington,Puyallup Agency,,Quinaielt Boarding,boarding,35,31,,40
10267,1894,Washington,Puyallup Agency,,Jamestown Day ,day,32,25,,30
10268,1894,Washington,Puyallup Agency,,Port Gamble Day ,day,24,14,,24
10270,1894,Washington,Tulalip Agency,,Tulalip  Industrial Boarding,boarding,118,99,,150
10274,1894,Washington,Tulalip Agency,,Lummi Day ,day,61,30,,50
10276,1894,Washington,Yakama Agency,,Yakima Boarding,boarding,149,104,,130
10279,1894,Washington,,Northern Yakima,St. Francis Xavier Boarding,boarding,49,38,,90
10280,1894,Washington,,King County ,"Public Day, District No. 87",day,12,,,
10281,1894,Washington,,Pierce County ,"Public Day, District No. 10",day,1,1,,
10284,1894,Wisconsin,Green Bay Agency,,Oneida Boarding,boarding,104,87,,80
10285,1894,Wisconsin,Green Bay Agency,,Menomonee Boarding,boarding,135,110,,125
10286,1894,Wisconsin,Green Bay Agency,,Stockbridge Day ,day,35,17,,24
10287,1894,Wisconsin,Green Bay Agency,,St. Joseph's Boarding,boarding,172,155,,170
10288,1894,Wisconsin,Green Bay Agency,,Hobart Day ,day,49,22,,120
10289,1894,Wisconsin,Green Bay Agency,,Oneida Day No. 1,day,22,6,,50
10290,1894,Wisconsin,Green Bay Agency,,South Oneida Day ,day,29,17,,30
10292,1894,Wisconsin,La Pointe Agency,,Red Cliff Day ,day,51,38,,50
10294,1894,Wisconsin,La Pointe Agency,,Lac Court d'Oreilles Day ,day,45,25,,36
10295,1894,Wisconsin,La Pointe Agency,,Lac du Flambeau Day,day,35,21,,40
10296,1894,Wisconsin,La Pointe Agency,,Fond du Lac Day ,day,30,12,,30
10297,1894,Wisconsin,La Pointe Agency,,Grand Portage Day ,day,18,9,,35
10301,1894,Wisconsin,,,Bayfield Day ,day,36,30,,50
10302,1894,Wisconsin,,,"St. Mary's Boarding, Bad River Reservation ",boarding,77,70,,100
10303,1894,Wisconsin,,,Bayfield Day ,day,55,40,,150
10304,1894,Wisconsin,,,Lac Court d'Oreilles Day ,day,93,71,,80
10305,1894,Wisconsin,,,Normantown Day ,day,14,9,,30
10306,1894,Wisconsin,,,Pahquayahwong Day ,day,51,38,,25
10307,1894,Wisconsin,,,"St. mary's Day, Bad River Reservation ",day,32,29,,100
10308,1894,Wisconsin,,,Vermillion Day ,day,55,26,,50
10309,1894,Wisconsin,,Wittenberg,Wittenberg Boarding,boarding,146,133,,160
10310,1894,Wisconsin,,Ashland County ,"Public Day, Ashland District",day,12,8,,
10311,1894,Wisconsin,,Tomah,Tomah Training,boarding,109,67,,125
10314,1894,Wyoming,Shoshone Agency,,Wind River Boarding,boarding,144,103,,150
10315,1894,Wyoming,Shoshone Agency,,Episcopal Mission Boarding ,boarding,24,19,,25
10317,1894,Wyoming,Shoshone Agency,,St. Stephen's Mission Boarding,boarding,88,76,,125
10320,1895,Arizona,Colorado River Agency,,Colorado River Boarding,boarding,93,91,,100
10326,1895,New Mexico,Navajo Agency,,Navajo Boarding,boarding,221,118,,100
10328,1895,New Mexico,Navajo Agency,,Little Water Day,day,49,36,,30
10330,1895,Arizona,,Moqui Reserve,Moqui Boarding Keam's Canyon,boarding,97,80,,90
10331,1895,Arizona,,Moqui Reserve,Orieba Day,day,38,29,,40
10332,1895,Arizona,,Moqui Reserve,Polacca Day,day,44,23,,50
10333,1895,Arizona,,Fort Mojave,Fort Mojave Training,boarding,156,151,,150
10334,1895,Arizona,,Fort Mojave,Hualapai Day,day,22,18,,40
10335,1895,Arizona,,Fort Mojave,Supai Day,day,40,35,,30
10336,1895,Arizona,Pima Agency,Gila River Reserve,Pima  Boarding,boarding,187,150,,150
10346,1895,Arizona,San Carlos Agency,White Mountain,San Carlos Boarding,boarding,108,101,,100
10353,1895,Arizona,San Carlos Agency,,White Mountain Apache Boarding,boarding,52,41,,50
10354,1895,Arizona,San Carlos Agency,,Tucson Boarding,boarding,,,,
10356,1895,Arizona,,,Phoenix Training,boarding,204,157,,150
10357,1895,California,Hoopa Valley Agency,,Hoopa Valley Boarding,boarding,123,95,,120
10364,1895,California,Mission Tule River Agency,,Coahuila Day,day,35,22,,32
10367,1895,California,Mission Tule River Agency,,Agua Caliente Day,day,25,14,,28
10369,1895,California,Mission Tule River Agency,,Cap Tan Grande Day,day,30,30,,30
10370,1895,California,Mission Tule River Agency,,La Jolla Day,day,34,20,,34
10371,1895,California,Mission Tule River Agency,,Mes Grande Day,day,23,12,,26
10372,1895,California,Mission Tule River Agency,,Martinez Day,day,30,18,,36
10373,1895,California,Mission Tule River Agency,,Petrero Day,day,31,16,,32
10374,1895,California,Mission Tule River Agency,,Rincon Day,day,31,23,,25
10375,1895,California,Mission Tule River Agency,,San Jacinto Day,day,25,18,,40
10376,1895,California,Round Valley Agency,,Round Valley Boardig,boarding,87,65,,70
10382,1895,California,,Fort Yuma,Fort Yuma Boarding,boarding,159,149,,250
10383,1895,California,,,Big Pine Day,day,27,21,,35
10384,1895,California,,,Bishop Day,day,62,35,,40
10385,1895,California,,,Manchester Day,day,18,12,,30
10386,1895,California,,,Potter Valley Day,day,33,25,,50
10387,1895,California,,,Ukiah Day,day,31,15,,40
10388,1895,California,,,Upper Lake Day,day,27,17,,45
10389,1895,California,,Perris,Perris Training,boarding,163,107,,125
10390,1895,California,,San Diego,San Diego Industrial Training,boarding,99,98,,150
10391,1895,California,,Banning,St. Boniface's Industrial ,boarding,129,122,,150
10392,1895,California,,,Hopland Day,day,28,20,,50
10393,1895,California,,,Pinole Day,day,21,14,,40
10394,1895,California,,,St. Turibuis Boarding,boarding,24,20,,40
10395,1895,California,,,Ukiah Day,day,24,13,,50
10396,1895,California,,Inyo County,"Inyo County Public Day, Round Valley",day,17,8,,
10397,1895,California,,San Diego,San Diego County Public Day Helm District,day,13,7,,
10398,1895,California,,Greenville,Greenville Boarding and Day,boarding,64,44,,40
10403,1895,Colorado,,Grand Junction,Grand Junction Training,boarding,132,117,,150
10404,1895,Colorado,,Fort Lewis,Fort Lewis Training,boarding,195,151,,300
10406,1895,Idaho,Fort Hall Agency,,Fort Hall Boarding,boarding,159,116,,200
10409,1895,Idaho,Lemhi Agency,,Lemhi Boarding,boarding,31,30,,40
10412,1895,Idaho,,Fort Lapwai,Fort Lapwai Boarding,boarding,207,148,,200
10413,1895,Indiana,,Wabash,White's Manual Labor Institute,boarding,66,65,,80
10414,1895,Indiana,,Rensselaer,St. Joseph's Normal,boarding,67,54,,100
10415,1895,Washington,Quapaw Agency,,Quapaw Boarding,boarding,120,97,,110
10424,1895,Washington,Quapaw Agency,,"Seneca, Shawnee, and Wyandotte Boarding",boarding,121,89,,130
10431,1895,Indian Territory,Sac and Fox Agency,,Sac and Fox Day,day,47,9,,40
10433,1895,New Mexico,Pottawatomie and Great Nemaha Agency,,Pottawatomie Boarding,boarding,65,46,,75
10434,1895,New Mexico,Pottawatomie and Great Nemaha Agency,,Kickapoo Boarding,boarding,45,33,,30
10436,1895,New Mexico,Pottawatomie and Great Nemaha Agency,,Sac and Fox and Iowa Boarding,boarding,44,33,,50
10439,1895,Kansas,,Halstead,Halstead Mennonite Mission Boarding,boarding,22,22,,40
10440,1895,Kansas,,Lawrence,Haskell Institute,boarding,585,499,,500
10446,1895,Michigan,,Baraga,Chippewa Boarding,boarding,51,47,,150
10447,1895,Michigan,,Baraga,Chippewa Day,day,34,15,,50
10448,1895,Michigan,,Harbor Springs,Harbor Springs Boarding,boarding,193,170,,200
10449,1895,Michigan,,Point Iroquois,Point Iroquois Day,day,178,135,,160
10450,1895,Michigan,,Isabella County,Isabella County Public Day District No. 2,day,10,5,,
10451,1895,Minnesota,White Earth Agency,,White Earth Boarding,boarding,135,91,,100
10456,1895,Minnesota,White Earth Agency,,Red Lake Boarding,boarding,55,44,,50
10458,1895,Minnesota,White Earth Agency,,Leech Lake Boarding,boarding,63,35,,40
10462,1895,Minnesota,White Earth Agency,,Pine Point Boarding,boarding,74,53,,60
10463,1895,Minnesota,White Earth Agency,,Wild River River Boarding,boarding,93,68,,60
10464,1895,Minnesota,White Earth Agency,,St. Benedict's Orphan,boarding,109,102,,200
10465,1895,Minnesota,White Earth Agency,,Red Lake Boarding (St. Mary's),boarding,71,60,,100
10466,1895,Minnesota,White Earth Agency,,Twin Lake Day,day,19,9,,25
10467,1895,Minnesota,,Birch Cooley ,Birch Cooley Day,day,21,12,,36
10468,1895,Minnesota,,Clontarf ,Clontarf St. Paul's Boarding,boarding,49,41,,110
10469,1895,Minnesota,,Collegeville,St. John's Institute,boarding,50,50,,100
10470,1895,Minnesota,,Greenville ,Convent of Our Lady,boarding,60,55,,65
10471,1895,Minnesota,,Morris,Sisters of Mercy,boarding,107,96,,150
10472,1895,Minnesota,,St. Joseph,St. Benedict's Academy,boarding,50,50,,100
10473,1895,Minnesota,,Pipestone,Pinestone Training,boarding,79,58,,90
10474,1895,Montana,Blackfeet Agency,,Blackfeet Boarding,boarding,144,122,,125
10475,1895,Montana,Blackfeet Agency,,Holy Family Boarding,boarding,109,104,,140
10476,1895,Montana,Crow Agency,,Crow Boarding,boarding,87,80,,100
10477,1895,Montana,Crow Agency,,Montana Industrial Boarding,boarding,79,51,,60
10478,1895,Montana,Crow Agency,,St. Xavier's Industrial,boarding,116,111,,200
10479,1895,Montana,Flathead Agency,,St. Ignatius Industrial ,boarding,334,302,,450
10485,1895,Montana,Fort Belknap Agency,,Fort Belknap Boarding,boarding,122,116,,110
10488,1895,Montana,Fort Belknap Agency,,St. Paul's Industrial ,boarding,172,138,,300
10489,1895,Montana,Fort Peck Agency,,Poplar Creek Boarding,boarding,127,122,,150
10492,1895,Montana,Tongue River Agency,,Tongue Agency Day,day,25,17,,30
10493,1895,Montana,Tongue River Agency,,St. Labre's Boarding,boarding,47,45,,55
10494,1895,Montana,,St. Peter's,St. Peter's Mission Boarding,boarding,237,202,,400
10495,1895,Montana,,Fort Shaw,Fort Shaw Training,boarding,208,194,,250
10497,1895,Nebraska,Omaha and Winnebago Agency,,Winnebago Boarding,boarding,91,75,,90
10498,1895,Nebraska,Omaha and Winnebago Agency,,Omaha Boarding,boarding,106,71,,80
10499,1895,Nebraska,Santee Agency,,Santee Boarding,boarding,115,84,,100
10502,1895,Nebraska,Santee Agency,,Ponca Day,day,26,17,,36
10503,1895,Nebraska,Santee Agency,,Santee Normal Training,boarding,106,92,,174
10504,1895,Nebraska,Santee Agency,Springfield South Dakota,Hope Boarding ,boarding,49,41,,50
10505,1895,Nebraska,,Knox County,Public Day District 10 Plum Valley,day,6,4,,
10506,1895,Nebraska,,Knox County,"Public Day, District No. 36",day,12,8,,
10507,1895,Nebraska,,Knox County,Public Day Distrcit No. 87,day,8,2,,
10508,1895,Nebraska,,Knox County,Public Day District No. 90,day,7,4,,
10509,1895,Nebraska,,Knox County,Public Day District No. 91,day,3,2,,
10510,1895,Nebraska,,Knox County,Public Day District No. 1,day,5,4,,
10511,1895,Nebraska,,Knox County,Public Day District No. 104,day,15,6,,
10512,1895,Nebraska,,Knox County,Public Day District No. 94,day,2,1,,
10513,1895,Nebraska,,Thurston County ,Public Day District No. 1,day,18,13,,
10514,1895,Nebraska,,Thurston County ,Public Day District No. 6,day,10,7,,
10515,1895,Nebraska,,Thurston County ,Public Day District No. 14,day,11,6,,
10516,1895,Nebraska,,Genoa,Genoa Training,boarding,282,192,,350
10518,1895,Nevada,Nevada Agency,,Pyramid Lake Boarding,boarding,71,62,,80
10519,1895,Nevada,Nevada Agency,,Walker River Day,day,40,28,,30
10520,1895,Nevada,Nevada Agency,,Wadsworth Day,day,40,37,,30
10521,1895,Nevada,,Carson ,Carson Training,boarding,127,119,,135
10522,1895,Nevada,Western Shoshone Agency,,Western Shoshone Boarding,boarding,51,42,,50
10526,1895,New Mexico,Mescalero Agency,,Mescalero Boarding,boarding,75,53,,50
10530,1895,New Mexico,Pueblo Agency,Pueblo,Jemez Day,day,125,41,,60
10531,1895,New Mexico,Pueblo Agency,Pueblo,Acoma Day,day,35,21,,50
10532,1895,New Mexico,Pueblo Agency,Pueblo,San Juan Day,day,32,21,,50
10536,1895,New Mexico,Pueblo Agency,Pueblo,Cochiti Day,day,43,16,,30
10537,1895,New Mexico,Pueblo Agency,Pueblo,Santo Domingo Day,day,35,31,,75
10538,1895,New Mexico,Pueblo Agency,Pueblo,Taos Day,day,44,28,,50
10539,1895,New Mexico,Pueblo Agency,Pueblo,Santa Clara Day,day,27,13,,30
10543,1895,New Mexico,Pueblo Agency,Pueblo,Zia Day,day,34,27,,35
10545,1895,New Mexico,Pueblo Agency,Pueblo,Isleta Day,day,50,25,,60
10547,1895,New Mexico,Pueblo Agency,Pueblo,Laguna Day,day,34,19,,40
10549,1895,New Mexico,Pueblo Agency,,Bernalillo Boarding,boarding,76,75,,125
10550,1895,New Mexico,Pueblo Agency,,Romana Boarding,boarding,69,63,,75
10551,1895,New Mexico,Pueblo Agency,,Pahuate Day,day,33,21,,35
10552,1895,New Mexico,,Santa Fe,Santa Fe Training,boarding,179,133,,150
10553,1895,New Mexico,,Albuquerque,Albuquerque Training,boarding,389,269,,300
10578,1895,North Carolina,Eastern Cheyenne Agency,,Cherokee Boarding,boarding,106,81,,100
10579,1895,North Carolina,Eastern Cheyenne Agency,,Big Cove Day,day,65,30,,50
10580,1895,North Carolina,Eastern Cheyenne Agency,,Birdtown Day,day,49,21,,40
10581,1895,North Carolina,Eastern Cheyenne Agency,,Cherokee Day,day,21,13,,27
10582,1895,North Carolina,Eastern Cheyenne Agency,,Soco Day,day,36,18,,50
10589,1895,Dakota,Devil's Lake Agency,,Fort Totten Boarding,boarding,324,278,,425
10590,1895,Dakota,Devil's Lake Agency,,Turtle Mountain Boarding,boarding,161,146,,175
10591,1895,Dakota,Devil's Lake Agency,,Turtle Mountain No. 1 Day,day,66,26,,50
10592,1895,Dakota,Devil's Lake Agency,,Turtle Mountain No. 2 Day,day,44,18,,50
10593,1895,Dakota,Devil's Lake Agency,,Turtle Mountain No. 3 Day,day,79,20,,50
